公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
深圳市客路网络科技有限公司,KLOOK 客路旅行,500-2000人,D轮及以上,福田区,Python工程师,1-3年,本科,10k-20k,国际化平台,旅游,开发|测试|运维类,"['扁平管理', '国际化团队', '旅游基金', '定期体检']",后端开发,深圳
北京金堤科技有限公司,天眼查,150-500人,不需要融资,海淀区,Python开发工程师,3-5年,本科,15k-25k,公司发展好,数据服务,开发|测试|运维类,"['专项奖金', '股票期权', '带薪年假', '定期体检']",后端开发,北京
杭州涂鸦信息技术有限公司,涂鸦智能,500-2000人,C轮,西湖区,Python开发工程师,3-5年,本科,20k-30k,"氛围好,定期团建,工作环境好,时间灵活","移动互联网,硬件",开发|测试|运维类,"['5星办公环境', '年底奖金', '团队牛B', '五险一金']",后端开发,杭州
成都思而科软件有限公司,思而科,50-150人,未融资,武侯区,python开发工程师,3-5年,本科,8k-15k,五险一金 年终奖 餐补 下午茶,电商,开发|测试|运维类,"['带薪年假', '绩效奖金', '领导好', '帅哥多']",后端开发,成都
网易（杭州）网络有限公司,网易,2000人以上,上市公司,天河区,python开发工程师,不限,本科,15k-30k,6险1金，带薪年假，免费猪厂食堂，16薪,电商,开发|测试|运维类,"['节日礼物', '技能培训', '免费班车', '带薪年假']",后端开发,广州
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,python开发工程师,1-3年,本科,20k-35k,六险一金，高薪期权，弹性工作，免费三餐,文娱丨内容,开发|测试|运维类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",后端开发,北京
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,南山区,python开发工程师,3-5年,本科,20k-40k,大平台 福利待遇优厚,社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,深圳
叽里呱啦文化传播（上海）有限公司,叽里呱啦,500-2000人,B轮,普陀区,python开发工程师,1-3年,本科,15k-30k,风口行业 牛人多多 氛围简单 呱呱餐厅,"移动互联网,教育",开发|测试|运维类,"['年底双薪', '带薪年假', '出国旅游', '没有996']",后端开发,上海
奇虎360科技有限公司,360,2000人以上,上市公司,朝阳区,Python开发工程师,3-5年,本科,20k-25k,360安全 集结侠客 迎战大安全网络战,信息安全,开发|测试|运维类,"['专项奖金', '年底双薪']",后端开发,北京
北京达佳互联信息技术有限公司,快手,2000人以上,D轮及以上,海淀区,Python开发工程师,不限,本科,20k-25k,三餐免费、期权、健身房、房补,文娱丨内容,开发|测试|运维类,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",后端开发,北京
奇虎360科技有限公司,360,2000人以上,上市公司,天河区,Python开发工程师,3-5年,本科,20k-35k,"发展空间大,团队氛围好,员工福利多",信息安全,开发|测试|运维类,"['专项奖金', '年底双薪']",后端开发,广州
北京酷我科技有限公司,酷我音乐,500-2000人,上市公司,朝阳区,Python,1-3年,本科,15k-25k,"公司平台大,福利待遇棒,公司氛围好,领导好","移动互联网,文娱丨内容",开发|测试|运维类,"['绩效奖金', '五险一金', '带薪年假', '午餐补助']",后端开发,北京
北京华为数字技术有限公司,华为,2000人以上,不需要融资,海淀区,python,不限,本科,14k-28k,从事安全行业，接触最热领域,"通讯电子,软件开发",开发|测试|运维类,[],数据开发,北京
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,python,5-10年,本科,25k-45k,"工作氛围好,发展空间大",文娱丨内容,开发|测试|运维类,"['专项奖金', '带薪年假', '年度旅游', '扁平管理']",后端开发,北京
上海斯干网络科技有限公司,斯干,150-500人,B轮,徐汇区,Python开发工程师,5-10年,本科,20k-40k,"公司氛围好,二次元行业","移动互联网,文娱丨内容",开发|测试|运维类,"['节日礼物', '股票期权', '扁平管理', '帅哥多']",后端开发,上海
易宝软件科技（南京）有限公司,易宝软件科技（南京）有限公司,150-500人,上市公司,滨江区,python,1-3年,本科,8k-16k,发现空间，平台背景,移动互联网,开发|测试|运维类,[],后端开发,杭州
深信服科技股份有限公司,深信服科技集团,2000人以上,不需要融资,南山区,python开发工程师,不限,本科,11k-22k,大牛多多，平台大,"信息安全,企业服务",开发|测试|运维类,"['三餐全包', '大牛超多', '年终奖超多', '大公司，稳定']",后端开发,深圳
北京酷我科技有限公司,酷我音乐,500-2000人,上市公司,朝阳区,Python,1-3年,本科,15k-25k,"公司平台大,福利待遇棒,公司氛围好,领导好","移动互联网,文娱丨内容",开发|测试|运维类,"['绩效奖金', '五险一金', '带薪年假', '午餐补助']",后端开发,北京
上海卿钊互联网科技有限公司,上海卿钊,少于15人,未融资,浦东新区,python,3-5年,不限,1k-2k,找技术合伙人：时间自由 有项目开发,"消费生活,广告营销",开发|测试|运维类,[],后端开发,上海
深圳市长亮科技股份有限公司,长亮科技,2000人以上,上市公司,南山区,python开发,3-5年,本科,15k-25k,五险一金 年休假 公司总部研发部,企业服务,开发|测试|运维类,"['五险一金', '通讯津贴', '带薪年假', '定期体检']",后端开发,深圳
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,浦东新区,Python开发,3-5年,本科,14k-20k,"节日礼金,体检旅游,年底双薪,五险一金","移动互联网,金融",开发|测试|运维类,[],后端开发,上海
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,python开发,3-5年,本科,20k-35k,"硅谷式办公,弹性工作,时令水果",移动互联网,开发|测试|运维类,"['带薪年假', '定期体检', '文化open', '扁平化管理']",后端开发,北京
北京智蓝云信科技有限公司,智蓝信息,150-500人,不需要融资,东城区,python,5-10年,本科,12k-20k,五险一金 周末双休,"企业服务,数据服务",开发|测试|运维类,[],后端开发,北京
上海沸橙信息科技有限公司,上海沸橙信息科技有限公司,150-500人,不需要融资,浦东新区,python,1-3年,本科,10k-12k,****,"电商,移动互联网",开发|测试|运维类,"['带薪年假', '绩效奖金', '定期体检', '交通补助']",后端开发,上海
南京厚建云计算有限公司广州分公司,短书,50-150人,不需要融资,番禺区,Python开发,3-5年,本科,10k-20k,技术氛围浓，发展机会大,"移动互联网,企业服务",开发|测试|运维类,"['五险一金', '岗位晋升', '扁平管理', '定期体检']",后端开发,广州
华为技术有限公司,华为技术有限公司,2000人以上,不需要融资,龙岗区,python开发工程师,1-3年,本科,15k-30k,大平台,通讯电子,开发|测试|运维类,"['福利完善', '国际化平台', '定期体检', '绩效奖金']",后端开发,深圳
奇虎360科技有限公司,360,2000人以上,上市公司,朝阳区,python爬虫,3-5年,本科,15k-25k,技术大拿团队，成长空间大，福利好,信息安全,开发|测试|运维类,"['专项奖金', '年底双薪']",数据开发,北京
浙江数秦科技有限公司,浙江数秦科技,150-500人,A轮,西湖区,python,5-10年,本科,17k-30k,双休，五险一金，年终奖，期权，职业发展,"移动互联网,信息安全",开发|测试|运维类,"['岗位晋升', '股票期权', '定期体检', '五险一金']",后端开发,杭州
易宝软件科技（南京）有限公司,易宝软件科技（南京）有限公司,150-500人,上市公司,雨花台区,python,3-5年,本科,10k-20k,五险一金  免费班车 绩效奖金,移动互联网,开发|测试|运维类,[],后端开发,南京
广州瑞云网络科技有限公司,瑞云网络,50-150人,不需要融资,天河区,python工程师,1-3年,本科,10k-20k,五险一金，双休，高新企业，奖金,"移动互联网,电商",开发|测试|运维类,"['年终分红', '绩效奖金', '带薪年假', '年度旅游']",后端开发,广州
奥解思信息科技（上海）有限公司,奥解思,500-2000人,上市公司,浦东新区,python,3-5年,本科,15k-22k,福利好，弹性工作制，培训机会多,金融,开发|测试|运维类,[],后端开发,上海
特赞（上海）信息科技有限公司,特赞|Tezign,150-500人,B轮,黄浦区,Python,3-5年,本科,20k-35k,TOP级客户 开放年轻 不打卡 大牛团队,移动互联网,开发|测试|运维类,"['技能培训', '扁平管理', '弹性工作', '全员持股']",后端开发,上海
浙江乐檬信息技术有限公司,乐檬软件,50-150人,未融资,鄞州区,Python,3-5年,本科,10k-15k,出国机会，上升空间，踏实做事，靠谱,"企业服务,消费生活",技术,"['技能培训', '年底双薪', '专项奖金', '带薪年假']",后端开发,宁波
